visa_cd,purpose_cd
USA_B1B2,LANG
USA_B1B2,TRSM
USA_B1B2,MED
USA_B1B2,BSNS
USA_B1B2,GUEST
USA_F1,ACDM
USA_M1,UPGRD
USA_C1D1,WORK
USA_C1D1,TRNST
USA_I1,WORK
USA_L1,IMGRT
USA_L1,WORK
USA_H1B,IMGRT
USA_H1B,WORK
USA_O1,IMGRT
USA_O1,WORK
USA_R1,WORK
USA_R1,IMGRT
CANADA_TRV,TRSM
CANADA_TRV,GUEST
CANADA_TRV,BSNS
CANADA_TRV,LANG
CANADA_TRV,LANG
CANADA_STD,ACDM
