type_name,code,migration
Студенческие визы,STD,Неиммгационная
Гостевые визы,GUEST,Неиммгационная
Визы для участников программ обмена,EXCHANGE,Неиммгационная
Транзитные визы,TRANSIT,Неиммгационная
Визы для членов экипажа ,CREW,Неиммгационная
Визы для журналистов и работников СМИ,MEDIA,Неиммгационная
Обслуживающий/сопровождающий персонал персонал,STAFF,Неиммгационная
Рабочие визы,WORK,Иммиграционная
