visa_cd,country_cd,visa_name,brief_description,description
USA_O1,USA,Виза O1  Для одаренных людей,"Для людей с выдающимися способностями в области искусства, спорта, бизнеса, образования или науки","Виза О предназначена для людей с экстраординарными способностями в науке, искусстве, образовании, бизнесе, спорте или людей, обладающих заслугами и выдающимися достижениями в области кино или телевизионной индустрии, Достижения которых были признаны на национальном или международном уровне.

Виза O1 имеет две подкатегории:
<ul>
<li>O1A- Лица, обладающие экстраординарными способностями в науках, образовании, бизнесе или спорте.</li>
<li>O1B – Лица, обладающие экстраординарными способностями в области кино и телевизионной индустрии.</li>
</ul>
Виза O2 предназначена для лиц, сопровождающих обладателей визы O1 для содействия и ассистирования при конкретном мероприятии или при осуществлении конкретной деятельности.
<ul>
<li>Виза O1 первоначально выдается на три года. Визу можно продлевать на один год каждый раз. Может быть предоставлено неограниченное количество продлений срока действия визы.</li>
<li>Заявитель должен продемонстрировать доказательство наличия юридически обязывающих связей по месту жительства за пределами США, от которых заявитель не намерен отказываться.</li>
</ul>
"
USA_R1,USA,Виза R1 для священнослужителей,Работа в религиозных организациях на временной основе,"К служителям культа относят лиц, которые уполномочены официально признанной религиозной организацией отправлять религиозные обряды и осуществлять иные действия, которые обычно выполняют уполномоченные представители духовенства данной религии и лица занятые в областях, связанных с религиозной деятельностью. Заявители, обращающиеся за визой для служителей культа, должны удовлетворять следующим критериям.
<ul>
<li>Принадлежность заявителя к конфессии, признаваемой в США в качестве добросовестной некоммерческой религиозной организации.</li>
Виза категории R выдается лицам, въезжающим в США для работы в религиозных организациях на временной основе, согласно определению, приведенному в параграфе 101(a)(15)(R) Закона об иммиграции и гражданстве.
<li>Религиозная организация, в которой состоит заявитель, или ее подразделение должны быть освобождены от оплаты налогов или имеют право на освобождение от оплаты налогов.</li></ul>
Заявитель должен:
<ul>
<li> являться членом конфессии в течение двух лет, предшествующих дате подаче заявления о выдаче визы для служителей культа;</li>
<li> продемонстрировать намерение работать служителем своей конфессии или иным религиозным специалистом в добросовестной некоммерческой религиозной организации (или в подразделении такой организации, освобожденном от оплаты налогов);</li>
</il> проживать за пределами США в течение года до подачи заявления, если заявитель ранее в течение пяти лет принадлежал к данной категории.</li></ul></li>
</ul>
Для получения этой визы отсутствует требование о наличии постоянного места жительства за пределами США, которое заявитель не хотел бы сменить. Однако необходимо продемонстрировать намерение выехать из США по завершении соответствующего законного периода пребывания при отсутствии особых обстоятельств, которые позволили бы продлить этот статус.
"
CANADA_TRV,CA,TR туристическая виза,Туризм,Temporary Resident Visa. Выдается для поездок с целью: туризм
CANADA_TRV1,CA,TR гостевая виза,Посещение родственников или друзей,Temporary Resident Visa. Выдается для поездок с целью: посещение родственников или друзей
CANADA_TRV2,CA,TR виза для обучения и изучения языка до 6 месяцев,Обучение сроком до 6-ти месяцев ,Temporary Resident Visa. Выдается для поездок с целью: обучение сроком до 6-ти месяцев(обычно этот тип визы используется для обучения в языковых школах)
CANADA_TRV3,CA,TR  Деловая виза,Деловые поездки,Temporary Resident Visa. Выдается для поездок с целью:  деловая поездка.
CANADA_STD,CA,Студенческая виза,Учеба и работа во время учебы,"Возможно, Вы хотите учиться в Канаде на краткосрочных курсах сроком от 6 месяцев или в одном из канадских колледжей или университетов. 
В этом случае Вам нужна Студенческая (учебная) виза в Канаду."
AUSTRALIA_600_1,AU,Гостевая виза подкласс 600,Частный визит к родтсвенникам или друзьям,"Туристическая виза в Австралию это виза, предназначенная для путешествий в Австралию. Благодаря этой визе российские граждане могут отправиться в Австралию как туристы, что бы отдохнуть, посмотреть достопримечательности, пройти обучение или повидаться с родственниками и друзьями. По туристической визе Вы не можете заниматься бизнесом или устроиться на работу в Австралии. Вы можете находиться в Австралии по туристической визе не более 12 месяцев. После чего должны покинуть страну.
"
AUSTRALIA_600_2,AU,Туристическая виза подкласс 600,Путешествия и туризм,"Гостевая виза в Австралию оформляется в том случае, если вы хотите посетить своих родственников или друзей в Австралии. 
Как правило, для российских граждан процедура оформления гостевой визы в Австралию занимает 2-3 недели. Срок гостевой визы совпадает со сроком указанным в приглашении. Наша компания может помочь Вам оформить все документы и получить гостевую визу в Австралию."
AUSTRALIA_600_3,AU,Деловая виза подкласс 600,Деловая виза (бизнес виза),"Бизнес виза в Австралию необходима людям, у которых есть какие-либо деловые отношения с компаниями в Австралии в сфере бизнеса или промышленности. 
По бизнес визе Вы можете неоднократно посещать Австралию с деловыми целями, пока действует виза (90 дней). Вы можете принимать участие в конференциях, проводить переговоры с австралийскими партнерами и заключать контракты, открыть свой бизнес.
Этой группой виз обычно пользуются ученые, руководители, корреспонденты, консультанты, представители фирм, спортсмены. Цель Вашей поездки должна иметь прямое отношение к Вашей профессиональной деятельности в России. Лица, получившие данную визу, не могут выполнять работу, которая может быть выполнена кем-либо на рынке рабочей силы в Австралии, для работы в Австралии существуют рабочие визы."
AUSTRALIA_600_4,AU,Виза для обучения до 3 месяцев подкласс 600,"Данный тип визы обычно используется для обучения в языковых школах Австралии
 сроком до 3 месяцев","Данный тип виза предназначен для тех кто хочет обучаться в Австралии сроком до 3 месяцев на языковых курсах
 или в любом другом образовательном учреждении"
AUSTRALIA_570,AU,Долгосрочное обучение (более 3 мес),Долгосрочное  академическое обучение в Австралии,"Австралийская студенческая виза бывает нескольких категорий:
<ul>
<li>• Категория 570 – предназначена для обучения на курсах английского языка.</li>
<li>• Категория 571 – предназначена для обучения в средней школе.</li>
<li>• Категория 572 – предназначена для обучения в вузе.</li>
<li>• Категория 573 – предназначена для обучения в магистратуре.</li>
</ul>"
AUSTRALIA_602,AU,Виза подкласс 602  медицинская помощь/роды,"Получение медицинской помощи
 или осуществление родов на территории Австралии","Данная категория визы предназначена для людей желающих получить медицинскую помощь или осуществить роды на территории Австралии. 
Для граждан России и СНГ по этой визе разрешено находиться до 3 месяцев "
GB_1,UK,Виза туристическая и гостевая,"Самая популярная виза, позволяющая осуществлять туристические поездки","Туристическая виза является одной из самых популярных. 
Она позволяет совершать поездки в Великобританию с разными целями: осмотр культурных и ис­то­ри­чес­ких ценностей, посещение спортивных и развлекательных мероприятий, а также гостевые визиты к друзьям и родственникам, временно проживающим в Соединённом Королевстве. По  данному типу визы можно находиться до 6 месяцев на территории Великобритании."
GB_2,UK,Виза для изучение языка,Виза для обучения в языковой школе,"Виза Student visitor - предназначена для тех, кто хочет пройти краткий курс обучения (до 11 месяцев) в Великобритании. 
Это могут быть курсы обучения английскому языку или работа, связанная с обучением. Если Вы собираете обучаться английскому на курсах в Великобритании, то эта виза для Вас.По  данному типу визы можно находиться до 11 месяцев на территории Великобритании."
GB_3,UK,Студенческая виза,Студенческая виза предназначена для тех кто желает получить среднее и высшее образование в Соединённом Королевстве,"Студенческя виза Tier4 - предназначена для тех, кто хочет получить образование в Великобритании, обучаясь на длительном курсе (свыше 6 месяцев) в учебном заведении, имеющем лицензию United Kingdom Border Agency (UKBA).
 Виза подойдет вам, если вы  собираетесь получить высшее или среднее образование в Англии и отправить ребенка обучаться в Английской школе. По  данному типу визы, на территории Великобритании, можно находиться ровно столько, сколько указано в вашей визе."
GB_4,UK,Виза для бизнес - деловых поездок,"Виза для бизнес поездок, связанных с работой","По деловой визе Вы можете заняться деловыми вопросами, находясь в Великобритании по своей работе или в связи с бизнесом за рубежом. 
Также по деловой визе Вы имеете право, находясь в Великобритании: посещать выставки, конференции и семинары, в том числе и с докладом; покупать, выбирать и проверять качество товаров; заниматься поставкой товаров; обсуждать и заключать деловые соглашения и контракты; быть представителем сервисной компании и устанавливать, ремонтировать или обновлять промышленное оборудование. По  данному типу визы можно находиться до 6 месяцев на территории Великобритании."
GB_5,UK,Виза для  медицинской помощи/родов,"Получение медицинской помощи
 или осуществление родов на территории Соединённого Королевства","Данная категория визы предназначена для людей желающих получить медицинскую помощь или осуществить роды на территории Великобритании. 
Для граждан России и СНГ разрешено находиться до 6 месяцев в году"
GB_6,UK,Виза для транзита через Великобританию,Виза для транзита через территорию Соединенного Королевства,"Транзитная виза  необходима лицам, направляющимся в другие иностранные государства через территорию Великобритании и у которых нет действующей туристической или любой другой визы. 
Если пассажир намерен использовать пересадку для иных целей, кроме транзитного перемещения, например для посещения друзей или осмотра достопримечательностей, ему необходимо получить гостевую/туристическую визу. По данному типу визы, на территории Великобритании, разрешено находиться до 48 часов.
"
